"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"Metabolite1",133.427573118864,93.5185427069346,96.2238927887756,86.7195946936738,111.568334149953,72.8453322016216
"Metabolite2",114.061514469269,92.4323024763449,108.964321527822,118.471609969867,89.6209203506115,80.7340510662827
"Metabolite3",102.141792304922,82.5312009101202,109.447377609127,113.516781755267,88.037346899069,111.269056318781
"Metabolite4",104.558318531928,96.3482345874006,92.4850287650777,90.5724388955362,98.7097368142665,86.0096257782989
"Metabolite5",100.733229544025,100.378021483282,115.965290734778,97.6168988217995,66.8879303458818,94.7205140409294
"Metabolite6",103.282651095505,102.671122614105,105.137559123456,106.85672478426,106.554288681323,123.540410345124
"Metabolite7",118.180127285663,69.1320372595375,80.1025451011703,74.6458367060396,88.9043512442805,120.460984068344
"Metabolite8",74.3817698905172,104.614256300356,113.856848358572,96.4510790685851,117.099429541556,91.2325958419394
"Metabolite9",111.755569508656,98.4986994132407,122.617896786532,109.717139368994,99.1265948464634,83.5798756876622
"Metabolite10",99.4188388908419,79.1954796891012,140.421704715974,99.313013204423,109.228055833456,89.2371231522217
"Metabolite11",120.368096639895,86.4536450559915,79.8408490909462,71.9479147647506,97.4212684960903,103.974566383212
"Metabolite12",89.4586976267727,100.416239080977,115.972745514488,119.7200085066,96.8185001108679,104.219223162894
"Metabolite13",100.516006790377,104.45534445918,100.554875181324,100.098089137158,97.9566505043156,85.0876602505343
"Metabolite14",105.958283814599,83.0873710570723,104.517233801201,88.0330590427666,108.758700255814,118.636224579287
"Metabolite15",78.098993420977,82.8308614332142,94.4398657515332,75.7112214770474,102.961378901475,101.816683235055
"Metabolite16",101.187017498665,115.065020749186,104.058798342947,111.477275813751,121.640960698205,97.0813945925422
"Metabolite17",110.501974551893,95.7146939522103,101.988965927123,103.141109244891,88.2778508640637,93.034320636576
"Metabolite18",128.024963883604,117.428663413828,97.0037968077087,100.183563502446,93.7816101302387,117.553032181878
"Metabolite19",112.422830987745,113.534845313891,114.043624999911,115.225325706663,61.125201878296,75.2246222615124
"Metabolite20",115.264872260857,99.1370196743843,94.5722825973273,115.780287199539,86.3564979552928,86.450969650884
"Metabolite21",134.545491233782,77.1595049525687,95.6219372048704,120.486521665273,97.1097817987946,79.0800529647292
"Metabolite22",99.2479075034613,101.91108195768,110.096469217204,104.825116198423,128.214998143039,97.7381110522314
"Metabolite23",104.642654833218,95.4416647883941,118.639138955202,85.1466441559438,129.269552060536,117.654270434752
"Metabolite24",117.663853410971,99.4153590871481,112.187614004507,93.3987143511306,107.399677383372,97.118479459776
"Metabolite25",96.8227187182604,106.85075021886,108.226480235426,111.712476280721,97.3640250600057,136.002435562397
"Metabolite26",115.387888930632,92.1286710621257,80.1813477060473,104.920384717767,102.170729514958,114.333128003925
"Metabolite27",81.7383951606978,113.74959777784,107.797282888413,78.8358218713599,100.253476233481,110.744760937544
"Metabolite28",119.29720650965,103.886098152766,138.017782740106,114.797789839253,99.3312141941659,99.1827216595742
"Metabolite29",98.059571033565,92.3052922170949,104.27577799509,80.1915853379875,105.493494796236,108.805389370319
"Metabolite30",89.7364689765566,94.5225199540817,120.476379440738,84.6468442912735,108.865004344095,114.431153432842
"Metabolite31",88.343648308598,132.356526910971,88.25290524317,89.1195646605235,103.743767075043,113.513252006006
"Metabolite32",117.128492877062,99.9181027482621,102.316999083435,101.265266631546,104.24150052964,92.2634708916773
"Metabolite33",116.905472379373,138.938711238882,80.1764609152311,112.209011401804,135.09819261621,111.098067809884
"Metabolite34",93.1989340044455,106.986341338133,94.7436160453654,112.130651195191,117.555181668285,99.7542124511998
"Metabolite35",108.402692002367,109.76692990697,102.51868738271,111.959705312444,101.367952040607,104.939385474021
"Metabolite36",132.98707218112,73.3073623577279,91.9593817913685,106.244865662362,104.405958391269,95.5372766139021
"Metabolite37",95.3124916409165,114.115414672319,102.540084085141,110.29262634094,91.1340870170352,93.9819276713841
"Metabolite38",97.6975038033777,78.4663895552001,77.8175369564274,80.6715887696479,103.72330203759,122.66123320499
"Metabolite39",68.4174760733236,92.4387124785613,110.645618925568,132.861603450538,100.101177801406,79.0378375729229
"Metabolite40",102.232984755793,102.89523073921,108.169282604105,138.229505130885,102.601939090798,97.4937724990925
"Metabolite41",90.9048244620851,69.7387197159903,93.0654631418684,90.4336510685874,99.1690189791464,70.0593122628323
"Metabolite42",118.460036530078,124.600990521129,82.2009917086477,87.2452891503612,94.7498084357897,107.582264549429
"Metabolite43",91.7823978822077,111.525567507565,113.404988343756,110.195292349002,115.343028484193,102.063567592709
"Metabolite44",119.216154590492,93.3180472652934,115.747481249031,100.085543402925,106.373704774909,113.520026805772
"Metabolite45",116.315306827858,117.209071798386,93.7016248728852,107.235182245684,95.7676300667808,118.168901909816
"Metabolite46",91.0426077679205,78.9598829126822,83.775598151332,92.930026166305,92.2765195671403,111.543138182208
"Metabolite47",115.295528709709,94.2611117212246,101.570487376784,94.3375104889923,97.6593714864956,103.956757331863
"Metabolite48",124.349582713605,80.0713768697918,103.441962273157,92.4251871571276,116.577690773258,95.025842618822
"Metabolite49",111.743857849415,100.616439087194,129.031520656928,85.4504856153164,86.3921691303774,85.3183987082171
"Metabolite50",128.13451432707,111.117953302765,70.3991931029214,104.365151995072,113.778072579388,79.891011649371
"Metabolite51",118.667533415802,79.8933627233206,75.2494064392359,110.200375487349,65.9773047384072,98.9547048034971
"Metabolite52",103.511984959854,113.927855042981,115.823427738891,111.457486462451,109.828505749999,84.1584808648437
"Metabolite53",67.775858528948,86.8879836588245,98.2544647070075,114.185445392816,124.606279842578,111.54583357006
"Metabolite54",83.0148313217643,105.906377494888,72.9150508912131,113.373361076982,113.136860147492,70.4099861050192
"Metabolite55",90.5065656592484,90.0487224739308,78.0792424135297,90.1071349590607,84.8320171962157,104.286936688575
"Metabolite56",85.6009718568778,107.619090016215,93.6244593706552,120.388273783247,96.4450919668761,92.1312119536699
"Metabolite57",122.089246550077,118.265543139442,99.1036421561888,78.2834195896212,109.327837305694,109.596023421577
"Metabolite58",113.026453974286,82.4434255355267,102.349411791443,88.1828496156052,93.5383081275642,111.132601961827
"Metabolite59",92.8521357044721,104.368071456326,122.8767928323,108.345278922941,90.0084278996112,95.7204149748083
"Metabolite60",108.395715547898,91.1129003234366,99.1098925892542,110.593696209408,101.938654302153,79.7558493638951
"Metabolite61",113.183747617784,118.065244504294,79.5720577206783,110.522820929442,123.709293760453,72.4770346309819
"Metabolite62",111.699123602362,99.9323530043685,106.336521376077,92.2105665139058,86.7287386542534,102.384586364662
"Metabolite63",101.311743449915,89.9534727161199,80.6125552315725,75.3204140433022,110.811639221117,85.6060981323731
"Metabolite64",103.962621881578,113.224956010542,100.14498393329,84.9386412371266,93.4221531548448,98.1327834374926
"Metabolite65",134.950735067914,101.761204512196,90.5505324181581,80.2391267442458,108.406970707232,96.9853798171937
"Metabolite66",105.214354296176,130.34328167048,69.286039201621,83.9330044672727,103.407661092029,107.971570445184
"Metabolite67",85.9533200053455,85.2718613935649,73.085685835529,107.968038794609,103.910111694973,90.5737876917118
"Metabolite68",126.32360495636,120.721332692777,114.255647881149,137.750597421819,95.0328701965225,103.070505271803
"Metabolite69",95.6883533353088,110.187470289002,107.767364082875,72.8245978805097,96.4527086584246,119.252146478102
"Metabolite70",78.7563660047535,95.2921443413154,93.3615154228897,88.9229957186499,73.3337953285686,95.9235800919572
"Metabolite71",104.241544878148,101.625102227052,103.460508328212,98.3795206496189,115.216962590316,82.7136035123583
"Metabolite72",117.250459607658,79.7838132076927,93.8737743022337,104.373196998429,103.459131458843,88.6099291105436
"Metabolite73",100.702205387988,89.5433830605389,73.6674249044197,109.565856655048,88.4965134338702,124.843749952608
"Metabolite74",103.923711678407,97.5545289064377,123.575612265732,107.773143323522,83.2249675771995,90.9437566837835
"Metabolite75",93.9905899887916,107.018071983994,95.2491357156921,102.27209129381,107.12461527205,76.6273927891854
"Metabolite76",102.923085178053,105.104544391968,106.499985089402,98.5944216556334,98.1602589869226,95.6520251613558
"Metabolite77",94.6872161548871,100.692561081284,89.9407996589126,86.2078194771073,97.1738546929446,95.8047693179178
"Metabolite78",103.697986158021,101.397984775378,98.9726921076456,96.1472062350695,97.6338695561972,96.7720365649708
"Metabolite79",106.98026737006,124.784385514426,81.0951192526121,98.0139201294811,94.9401751044189,82.3856902716627
"Metabolite80",111.544621215789,95.762739525314,121.846597786205,102.395896386484,96.3530019808257,103.767120857529
"Metabolite81",95.5412095967064,104.54275395513,95.7467011240684,97.8644893172534,108.117930961428,99.3439936149861
"Metabolite82",97.7924160961852,90.9925110861797,98.1272497873889,98.4892034005789,83.0755796823358,79.9165310884273
"Metabolite83",85.9105569221557,69.7663442697415,91.086226047419,120.865964630594,115.047888066155,90.7473271971013
"Metabolite84",105.29961769655,74.3841800953878,84.9135486954612,98.5898338400347,117.86662803429,112.279101779292
"Metabolite85",92.2620554402876,91.1190949883052,116.259801059354,56.3990346410241,102.769467497046,70.9870743309061
"Metabolite86",94.0279836746823,82.9863471465234,95.1538598464767,78.3499770593073,103.505505920206,81.5593867378724
"Metabolite87",102.147214360905,80.2688211366993,109.859213310259,96.3346021452135,106.774084851887,102.765363758354
"Metabolite88",72.8826916848442,107.539885462423,95.8220331376322,94.2744604317705,97.293843597852,103.013418040427
"Metabolite89",115.7863006504,103.449863184521,93.4094766745209,94.2210933107404,130.308824829,95.6111724658809
"Metabolite90",82.7361834443192,82.3804598723378,104.852010898727,114.905310247861,96.2547188574446,109.241974039945
"Metabolite91",111.403637255892,96.2140823834988,72.6947950405784,106.417078217771,117.920215315322,109.924855460039
"Metabolite92",93.7666547042139,96.4172345643509,128.779841825756,140.950197932548,84.0529560547503,98.6880807767924
"Metabolite93",119.990657349353,112.228972488488,94.5254111961954,96.2830179478839,71.1630117352055,120.91626482685
"Metabolite94",107.234268748545,83.8497829514486,87.7850426524227,82.4855270746408,96.4995653385548,92.3419796671351
"Metabolite95",99.6071114679122,106.509631458084,88.1056772792409,84.8425593764111,118.411044761751,75.0010189613118
"Metabolite96",99.3596750952769,99.7183512110994,83.6659389805641,90.3501618603341,94.9674328367705,131.212189564327
"Metabolite97",96.3582437724273,99.1768357777456,108.067215684338,97.1713699660467,105.324961586031,84.0248000848039
"Metabolite98",131.384248360147,91.9779285699137,91.0264455246808,69.4820996155732,96.7090917148637,81.955104188608
"Metabolite99",122.883931891064,108.277985869571,103.275791530122,114.015223468735,106.19154355887,131.254233678773
"Metabolite100",99.1682583173954,84.0865348986403,95.4262309261859,89.9152599934165,129.294409881882,117.357413319342
