"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gene1",38.2903098263278,-0.00255875164247368,0.0761590113719797,0.820331676706925,0.998929767508111
"Gene2",95.0298034004502,-0.0111800652700092,0.0770490362766106,0.384118785594769,0.988109026200826
"Gene3",68.6981510726657,0.00168582393631502,0.0759653195075743,0.894069295998813,0.998929767508111
"Gene4",31.1251927389544,-0.0131099440542074,0.077859890359807,0.223629173584692,0.9796814753942
"Gene5",76.6113786610706,-0.0178652544053155,0.079470723437964,0.0677632423983066,0.903566151528972
"Gene6",54.333865096509,0.000105931658497796,0.0761250649969178,0.995004414050009,0.998929767508111
"Gene7",47.0334883723311,0.00224000494092516,0.076158785859202,0.845642027667152,0.998929767508111
"Gene8",63.2347984225965,0.00848713698534607,0.0772243853085002,0.30580714002742,0.988109026200826
"Gene9",42.2518169741679,-0.0129416262229361,0.0775927344791476,0.285845035302906,0.982285344683525
"Gene10",36.2493392310933,-0.0114123922219366,0.0777651082602116,0.178821988991194,0.966102681125838
"Gene11",88.7334012162573,0.00331261705429891,0.0764800462490094,0.729822297820859,0.998929767508111
"Gene12",76.4419931100964,0.000481816478736969,0.0763475277691339,0.963612897157937,0.998929767508111
"Gene13",32.2019523545631,0.0282624112110651,0.0842270992761767,0.00797377818635876,0.724888926032615
"Gene14",84.6146538598367,0.0109221399619587,0.0770260726550802,0.392155076383842,0.988109026200826
"Gene15",45.4343509623506,0.00784972695700165,0.0769685615343668,0.410957670468878,0.988109026200826
"Gene16",25.8226918666602,0.00372018300338312,0.0764116813536562,0.717165333008461,0.998929767508111
"Gene17",59.894617210994,8.90329873967151e-05,0.0763453794695737,0.995690413125157,0.998929767508111
"Gene18",35.8243818434061,-0.000555320579897023,0.0764395363589228,0.94772785981827,0.998929767508111
"Gene19",54.401114451407,-0.0193255934484369,0.0796144841282644,0.11186308027164,0.95609470317641
"Gene20",71.2213867991073,-0.0165597403401396,0.0787143336757205,0.157259091434398,0.966102681125838
"Gene21",101.044084319578,-0.0017616873670357,0.0762932245850279,0.861001002668927,0.998929767508111
"Gene22",48.564229555639,0.00494439364829561,0.0765844741521279,0.6119678510696,0.998929767508111
"Gene23",101.090720936821,-0.0215065994670427,0.0802418118699169,0.11046110411177,0.95609470317641
"Gene24",27.4780361394762,-0.00926992883175218,0.0770737400486461,0.373357611149409,0.988109026200826
"Gene25",35.4842844944221,-0.00114768423466682,0.0763690857688811,0.902220214566889,0.998929767508111
"Gene26",21.8260422532391,-0.00603130326294756,0.0766971038896176,0.532072035588816,0.991636363899851
"Gene27",26.0756291493265,-0.00323050488090344,0.0764616942287635,0.734822546455733,0.998929767508111
"Gene28",53.5954688212738,-0.00602263366678613,0.0764102699753503,0.602705845208906,0.998929767508111
"Gene29",102.800564998214,-0.0117300462796268,0.0774965138347011,0.284202628462121,0.98029908841386
"Gene30",31.7558319201674,0.00408119051762154,0.0762881974833905,0.717929986795281,0.998929767508111
"Gene31",52.1299483032929,0.00440585392454753,0.0760533835920828,0.732290233770329,0.998929767508111
"Gene32",76.1043125214206,-0.00384762098276089,0.0760099827099641,0.764201013655624,0.998929767508111
"Gene33",73.4588538195822,0.0102353365839707,0.0769385335237361,0.411750144712829,0.988109026200826
"Gene34",21.2433663974918,-6.3477552155064e-05,0.0763746505009576,0.992331961662433,0.998929767508111
"Gene35",62.8578795270312,0.0112194801883865,0.0772468681833422,0.34409197329024,0.988109026200826
"Gene36",33.0936258600464,0.00385101654532902,0.0765575288373572,0.676641354935703,0.998929767508111
"Gene37",59.2053197411431,-0.00149359290531168,0.0763758153603118,0.873617783605909,0.998929767508111
"Gene38",67.8928643340524,-0.00240813228087482,0.0762104215946754,0.824722755530567,0.998929767508111
"Gene39",92.8565395582602,-0.00451597263460872,0.0765803571667827,0.628247624754948,0.998929767508111
"Gene40",102.661679157616,-0.00487074057245628,0.0765469788015142,0.61991752517418,0.998929767508111
"Gene41",99.7073127284917,-0.00193713345397987,0.0763392168080025,0.843009545944962,0.998929767508111
"Gene42",71.1893779976404,0.0188242899831287,0.0794777953905513,0.114371324872317,0.961103570355607
"Gene43",25.2269833224345,0.00215536067831804,0.0763999343794345,0.824999573300894,0.998929767508111
"Gene44",30.2513752418959,0.00572972947221754,0.0765751430776105,0.581333002843677,0.998929767508111
"Gene45",47.0115730769999,-0.0222747694253036,0.0809908658956869,0.0499690296916115,0.903566151528972
"Gene46",33.3335950362952,-0.00541516416943875,0.0764437788660761,0.620473695204185,0.998929767508111
"Gene47",89.157689733342,0.00403077530042233,0.0762957528188055,0.720242721055674,0.998929767508111
"Gene48",37.7331128621266,-0.00672352159191405,0.0767325451292449,0.502318465920571,0.991636363899851
"Gene49",77.8096391865364,0.00493111833246877,0.0766765656927426,0.584252051255703,0.998929767508111
"Gene50",104.019832832011,-0.0120659519785931,0.0778085967766883,0.196873756064148,0.966102681125838
"Gene51",31.2481229983331,0.00732605965361518,0.0769372192401989,0.425231022561285,0.991636363899851
"Gene52",19.7552688201432,-0.000462389983994435,0.0763459374716079,0.95976673831855,0.998929767508111
"Gene53",96.1705310142573,0.0361526592778332,0.0891990775519576,0.00521636871622243,0.579611669651642
"Gene54",69.6275056142476,-0.00838757950994481,0.0769722301303109,0.40449147702458,0.988109026200826
"Gene55",57.5862181527788,0.00037749989334536,0.0761991359278081,0.974664750601539,0.998929767508111
"Gene56",95.9364403078411,-0.000104254578072434,0.0760515561227885,0.990124244770628,0.998929767508111
"Gene57",72.453456910658,-0.0104881558186647,0.077231446891428,0.33709774194034,0.988109026200826
"Gene58",47.0529484685503,-0.00366221484121018,0.0764020486064164,0.717836514595637,0.998929767508111
"Gene59",30.0394611434606,-0.0106103081685837,0.077178072913241,0.352669889402044,0.988109026200826
"Gene60",39.0335006311377,-0.00378871559475229,0.0764728125831436,0.696256991003355,0.998929767508111
"Gene61",107.992987574953,0.012758637927456,0.0778664957252533,0.211576487166558,0.966102681125838
"Gene62",39.6653772128091,-0.000907053106307091,0.0762995685961486,0.925809996668894,0.998929767508111
"Gene63",51.1093766062445,-0.00410615090545133,0.0766274256426801,0.635771014503371,0.998929767508111
"Gene64",40.1196368121516,-0.0196558186006714,0.0798932912464985,0.0824362687693931,0.903566151528972
"Gene65",45.9152721161567,0.00702217326394374,0.0766277474648108,0.527468021839226,0.991636363899851
"Gene66",35.8821873874055,0.000842110220763627,0.076531048111766,0.921371654816043,0.998929767508111
"Gene67",50.1116217343669,0.00183554644200398,0.0762020254079849,0.869270538791054,0.998929767508111
"Gene68",49.7310171240199,0.0101925242079441,0.0770483965924775,0.386528340600281,0.988109026200826
"Gene69",52.9528681803984,0.00861473720066571,0.0770266170474643,0.390100990186906,0.988109026200826
"Gene70",36.6083463443574,-0.0249913335545108,0.0822678128527862,0.0296580980126666,0.900547311969817
"Gene71",54.8956605584703,0.0132242871336504,0.0776972166854906,0.27080499913966,0.98029908841386
"Gene72",39.5044308138991,-0.015270841622407,0.0783739245066093,0.177404072542582,0.966102681125838
"Gene73",48.6215654546245,-0.00797424879443609,0.0769098385117593,0.426983583941881,0.991636363899851
"Gene74",38.8159226038596,0.0194797834534746,0.079892518892689,0.0752897563402025,0.903566151528972
"Gene75",87.4215424773324,0.00645290165539505,0.0766223461695551,0.545458230747283,0.991636363899851
"Gene76",86.7258011043111,0.00724916716300093,0.0767007719029989,0.500889255365138,0.991636363899851
"Gene77",41.9904109975068,-0.0188265372874178,0.0794931156581803,0.109888220761546,0.95609470317641
"Gene78",82.5569579769368,0.0105096626603106,0.0771254353110332,0.370023627068091,0.988109026200826
"Gene79",74.2613668330208,0.0158291899753822,0.0786499288458674,0.140516486459467,0.966102681125838
"Gene80",37.3097978237098,-0.0127433186843502,0.0777679996763246,0.23489471993859,0.98029908841386
"Gene81",65.1581006813725,0.0200099701589774,0.0798521277698202,0.104988159411656,0.95609470317641
"Gene82",75.6417204587331,-0.00564347658463867,0.0766465995604791,0.560580854923973,0.998929767508111
"Gene83",73.1580390196442,0.0258889978586037,0.0828465730553551,0.01821432444044,0.847961779778528
"Gene84",131.798815053391,0.0152974244455066,0.0781581909054935,0.227286102291454,0.9796814753942
"Gene85",67.6286120926201,0.00793431515277449,0.0769821417367242,0.406000321541362,0.988109026200826
"Gene86",60.9897510016854,-0.00240361658298197,0.076341855602354,0.809719274129661,0.998929767508111
"Gene87",37.8473001544553,0.0195856448318481,0.0799278861235801,0.0746361810750959,0.903566151528972
"Gene88",114.466116654918,0.0051644909347612,0.0762949518025292,0.663840327349541,0.998929767508111
"Gene89",61.4467030122374,0.0121966329693819,0.0776497603944709,0.255909980470236,0.98029908841386
"Gene90",59.0537070990684,0.00425463172222831,0.0766102160623677,0.638887565120952,0.998929767508111
"Gene91",40.5557705041507,-0.00863914111022761,0.0768450577953206,0.440749235020989,0.991636363899851
"Gene92",103.97552443277,0.0235251231638689,0.0812189081078537,0.0758243223366304,0.903566151528972
"Gene93",37.9074016823919,-0.0106627238094169,0.0772300087742939,0.339320399343831,0.988109026200826
"Gene94",21.331451506673,0.00204729377904018,0.0765268643693928,0.813221591598511,0.998929767508111
"Gene95",81.1665983275988,-0.016383161168006,0.0787089674699449,0.150833581986105,0.966102681125838
"Gene96",35.6306103532218,0.00948024156164692,0.0773428066997689,0.278713162981446,0.98029908841386
"Gene97",32.5133307367344,-0.0101586094676361,0.077088433922254,0.373477071964639,0.988109026200826
"Gene98",43.8702336714116,0.0105845514840665,0.0775255905015493,0.241392702669485,0.98029908841386
"Gene99",31.6259085984358,0.00277352710587181,0.0764598969290132,0.770075678431017,0.998929767508111
"Gene100",48.6721236254542,0.00589376869100128,0.0764320863518641,0.607546083694753,0.998929767508111
